Frame_ID,Sensor,Detection_ID,cluster_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,center_x,centroid_x,centroid_y,point_count,min_distance,detection_score,bearing_deg
1,CSI,1,,379.66827392578125,175.2534637451172,440.3235778808594,240.6475830078125,0.4044533967971802,409.9959259033203,,,,,,-0.000794945693597561
1,CSI,2,,265.029296875,180.6481475830078,333.45782470703125,237.8411102294922,0.33943700790405273,299.2435607910156,,,,,,-21.611012528582314
1,RGB,1,,418.5081787109375,231.69252014160156,514.1539916992188,308.9639892578125,0.9510406851768494,466.3310852050781,,,,,,15.776320123672486
1,RGB,2,,133.85643005371094,230.49032592773438,227.73123168945312,308.76190185546875,0.9472421407699585,180.79383087158203,,,,,,-15.008165109157563
1,RGB,3,,296.56500244140625,229.38156127929688,368.1190490722656,309.3395690917969,0.9385892152786255,332.34202575683594,,,,,,1.3306246519088745
1,LiDAR,1,1,,,,,,,-3.0479274073846874e-05,14.694587744967182,3,14.638895246814679,0.9,-0.00011884197075549416
1,LiDAR,2,2,,,,,,,3.7732627606838154,14.695347073176457,3,15.108873121232929,0.9,14.400508179796683
1,LiDAR,3,3,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
2,CSI,1,,379.6150207519531,175.29664611816406,440.3190612792969,240.6932830810547,0.39517390727996826,409.967041015625,,,,,,-0.006431021341463415
2,CSI,2,,265.0350341796875,180.6355743408203,333.4657287597656,237.8190460205078,0.34208181500434875,299.25038146972656,,,,,,-21.609681664443595
2,RGB,1,,418.62457275390625,231.67083740234375,514.2493286132812,308.95355224609375,0.9508022665977478,466.43695068359375,,,,,,15.78773374557495
2,RGB,2,,296.7501220703125,229.5126495361328,368.1954345703125,309.28192138671875,0.948447048664093,332.4727783203125,,,,,,1.3447214126586915
2,RGB,3,,133.85494995117188,230.42115783691406,227.59609985351562,308.7835998535156,0.9474766850471497,180.72552490234375,,,,,,-15.015529346466064
2,LiDAR,1,1,,,,,,,-3.0479274073846874e-05,14.694587744967182,3,14.638895246814679,0.9,-0.00011884197075549416
2,LiDAR,2,2,,,,,,,3.7732627606838154,14.695347073176457,3,15.108873121232929,0.9,14.400508179796683
2,LiDAR,3,3,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
3,CSI,1,,379.6053161621094,175.247314453125,440.30584716796875,240.6991729736328,0.41280755400657654,409.95558166503906,,,,,,-0.0086669921875
3,CSI,2,,265.0072937011719,180.71682739257812,333.2701110839844,237.69039916992188,0.36853325366973877,299.1387023925781,,,,,,-21.631472703887194
3,RGB,1,,418.699951171875,231.65415954589844,514.1549072265625,308.9936828613281,0.9508013129234314,466.42742919921875,,,,,,15.786707210540772
3,RGB,2,,133.75767517089844,230.3638916015625,227.44805908203125,308.8113098144531,0.9477400183677673,180.60286712646484,,,,,,-15.02875338792801
3,RGB,3,,296.8509521484375,229.4600830078125,368.14361572265625,309.3145446777344,0.9427198767662048,332.4972839355469,,,,,,1.3473634243011474
3,LiDAR,1,1,,,,,,,-3.0479274073846874e-05,14.694587744967182,3,14.638895246814679,0.9,-0.00011884197075549416
3,LiDAR,2,2,,,,,,,3.7732627606838154,14.695347073176457,3,15.108873121232929,0.9,14.400508179796683
3,LiDAR,3,3,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
4,CSI,1,,379.64935302734375,175.2674102783203,440.3420104980469,240.7020263671875,0.4252144992351532,409.9956817626953,,,,,,-0.0008425828887195122
4,CSI,2,,264.95892333984375,180.82821655273438,333.090576171875,237.70460510253906,0.36858418583869934,299.0247497558594,,,,,,-21.653707364710364
4,RGB,1,,418.7276611328125,231.63121032714844,514.2188720703125,309.0089416503906,0.9505832195281982,466.4732666015625,,,,,,15.791649055480956
4,RGB,2,,133.8831329345703,230.41015625,227.17474365234375,308.7436218261719,0.9477444887161255,180.52893829345703,,,,,,-15.036723840236665
4,RGB,3,,296.69854736328125,229.49774169921875,368.1181335449219,309.3622741699219,0.898754894733429,332.40834045410156,,,,,,1.3377742052078248
4,LiDAR,1,1,,,,,,,-3.0479274073846874e-05,14.694587744967182,3,14.638895246814679,0.9,-0.00011884197075549416
4,LiDAR,2,2,,,,,,,3.7732627606838154,14.695347073176457,3,15.108873121232929,0.9,14.400508179796683
4,LiDAR,3,3,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
5,CSI,1,,379.6220703125,175.14247131347656,440.3935241699219,240.6801300048828,0.4599146544933319,410.00779724121094,,,,,,0.001521412919207317
5,CSI,2,,264.9974365234375,180.6390380859375,333.2283935546875,237.6758270263672,0.3670502007007599,299.1129150390625,,,,,,-21.63650438262195
5,RGB,1,,418.69818115234375,231.76873779296875,514.1422729492188,309.0068664550781,0.9510408043861389,466.42022705078125,,,,,,15.785930728912353
5,RGB,2,,133.7825164794922,230.41677856445312,226.93478393554688,308.8768005371094,0.9495937824249268,180.35865020751953,,,,,,-15.055083024501801
5,RGB,3,,296.617919921875,229.24224853515625,368.1901550292969,309.4405212402344,0.9010637402534485,332.40403747558594,,,,,,1.337310290336609
5,LiDAR,1,1,,,,,,,-3.0479274073846874e-05,14.694587744967182,3,14.638895246814679,0.9,-0.00011884197075549416
5,LiDAR,2,2,,,,,,,3.7732627606838154,14.695347073176457,3,15.108873121232929,0.9,14.400508179796683
5,LiDAR,3,3,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
6,CSI,1,,379.631591796875,175.2559814453125,440.3493957519531,240.635498046875,0.42513012886047363,409.99049377441406,,,,,,-0.0018548732850609756
