Tolerance_deg,Sensor,Total_Detections,Matched,Unmatched,Match_Rate,Mean_Difference_deg,Median_Difference_deg,Max_Difference_deg,Ambiguous_Match_Count,Mean_Candidate_Count,Mean_Candidate_Relationships_Per_Frame,Mean_Unique_LiDAR_Candidates_Per_Frame
0.5,CSI,357,212,145,0.5938375350140056,0.22166179721244894,0.2611475300400105,0.4999671538692798,0,0.5938375350140056,2.7532467532467533,2.7532467532467533
0.5,RGB,385,308,77,0.8,0.28261894892256384,0.28788554872349786,0.43373192251626413,0,0.8,4,4
1.0,CSI,357,357,0,1.0,0.4272293981657662,0.36056076046575036,0.9384992537944967,0,1,4.636363636363637,4.636363636363637
1.0,RGB,385,385,0,1.0,0.4170509998685088,0.3041010071166296,0.9927822391421515,42,1.1090909090909091,5.545454545454546,5.545454545454546
2.0,CSI,357,357,0,1.0,0.4272293981657662,0.36056076046575036,0.9384992537944967,77,1.4313725490196079,6.636363636363637,6.636363636363637
2.0,RGB,385,385,0,1.0,0.4170509998685088,0.3041010071166296,0.9927822391421515,77,1.4,7,7
3.0,CSI,357,357,0,1.0,0.4272293981657662,0.36056076046575036,0.9384992537944967,77,1.4313725490196079,6.636363636363637,6.636363636363637
3.0,RGB,385,385,0,1.0,0.4170509998685088,0.3041010071166296,0.9927822391421515,77,1.4,7,7
5.0,CSI,357,357,0,1.0,0.4272293981657662,0.36056076046575036,0.9384992537944967,77,1.4313725490196079,6.636363636363637,6.636363636363637
5.0,RGB,385,385,0,1.0,0.4170509998685088,0.3041010071166296,0.9927822391421515,77,1.4,7,7
