Tolerance_deg,Frame_ID,Camera_Sensor,Camera_Detection_ID,Camera_Raw_Bearing,Camera_Calibrated_Bearing,Matched,Matched_LiDAR_Cluster_ID,LiDAR_Bearing,Bearing_Difference_deg,Candidate_LiDAR_Count
0.5,1,CSI,1,-22.382705316310975,-16.27020459103468,False,,,,0
0.5,1,CSI,2,21.304422518102136,15.293745269328795,False,,,,0
0.5,1,CSI,3,-11.469518149771341,-8.385426863209794,True,7,-8.099415216692213,0.28601164651758104,1
0.5,1,CSI,4,10.84025759813262,7.733386114650818,True,3,7.65001533382348,0.08337078082733829,1
0.5,2,CSI,1,-22.410477801067074,-16.29027021127096,False,,,,0
0.5,2,CSI,2,-11.376786394817074,-8.318428170255336,True,7,-8.099415216692213,0.2190129535631229,1
0.5,2,CSI,3,21.29749130621189,15.288737468738091,False,,,,0
0.5,2,CSI,4,10.886703863376523,7.766943541289538,True,3,7.65001533382348,0.11692820746605825,1
0.5,3,CSI,1,-22.396037776295728,-16.279837293373664,False,,,,0
0.5,3,CSI,2,-11.443740472560975,-8.366802491425304,True,7,-8.099415216692213,0.26738727473309076,1
0.5,3,CSI,3,21.29366842130335,15.285975434391673,False,,,,0
0.5,3,CSI,4,10.809236852134145,7.71097362566692,True,3,7.65001533382348,0.06095829184344037,1
0.5,3,CSI,5,-0.22686618711890244,-0.26261082019340704,True,1,-0.00011884197075549416,0.2624919782226515,1
0.5,4,CSI,1,-22.391714700838413,-16.276713871355756,False,,,,0
0.5,4,CSI,2,-11.487277891577744,-8.398258276664919,True,7,-8.099415216692213,0.29884305997270566,1
0.5,4,CSI,3,21.305515196265247,15.294534729301644,False,,,,0
0.5,4,CSI,4,10.824305092416157,7.721860429270674,True,3,7.65001533382348,0.07184509544719386,1
0.5,5,CSI,1,-22.399711794969512,-16.282491771865473,False,,,,0
0.5,5,CSI,2,-11.447170350609756,-8.369280578315548,True,7,-8.099415216692213,0.2698653616233351,1
0.5,5,CSI,3,21.292647198932926,15.28523760122904,False,,,,0
0.5,5,CSI,4,10.783962342797256,7.692712792671018,True,3,7.65001533382348,0.04269745884753817,1
0.5,6,CSI,1,-11.233984970464938,-8.215254141160917,True,7,-8.099415216692213,0.11583892446870436,1
0.5,6,CSI,2,-22.371340867949698,-16.261993777093657,False,,,,0
0.5,6,CSI,3,21.295698956745426,15.287442496248572,False,,,,0
0.5,6,CSI,4,10.726586318597562,7.651258615186738,True,3,7.65001533382348,0.0012432813632585749,1
0.5,7,CSI,1,-22.388144888528963,-16.274134681962177,False,,,,0
0.5,7,CSI,2,-11.407187857278965,-8.340393226884052,True,7,-8.099415216692213,0.24097801019183862,1
0.5,7,CSI,3,21.285001429115855,15.279713532536206,False,,,,0
0.5,7,CSI,4,10.733922446646343,7.656558967701983,True,3,7.65001533382348,0.006543633878503208,1
0.5,8,CSI,1,-22.352542039824694,-16.248411623773343,True,6,-15.74975450021323,0.49865712356011294,1
0.5,8,CSI,2,21.25210794588415,15.2559479909013,False,,,,0
0.5,8,CSI,3,-11.229801829268293,-8.212231821646341,True,7,-8.099415216692213,0.11281660495412815,1
0.5,8,CSI,4,10.691043016387196,7.6255785793397495,True,3,7.65001533382348,0.024436754483730283,1
0.5,8,CSI,5,-0.2955828410823171,-0.3122586026819741,True,1,-0.00011884197075549416,0.3121397607112186,1
0.5,9,CSI,1,21.296026462461892,15.287679119128718,False,,,,0
0.5,9,CSI,2,-22.369101919778963,-16.260376137040303,False,,,,0
0.5,9,CSI,3,-11.335550447789636,-8.288635198528011,True,7,-8.099415216692213,0.18921998183579802,1
0.5,9,CSI,4,10.76870653105945,7.681690468690453,True,3,7.65001533382348,0.03167513486697349,1
0.5,10,CSI,1,-22.404737519054876,-16.28612285751715,False,,,,0
0.5,10,CSI,2,-11.56590010480183,-8.455062825719322,True,7,-8.099415216692213,0.355647609027109,1
0.5,10,CSI,3,21.294698575647864,15.286719720905584,False,,,,0
0.5,10,CSI,4,10.752253834794207,7.669803395638815,True,3,7.65001533382348,0.01978806181533521,1
0.5,11,CSI,1,-22.411368021150913,-16.290913395281535,False,,,,0
0.5,11,CSI,2,21.3397842035061,15.319294087033159,False,,,,0
0.5,11,CSI,3,-11.456801995998475,-8.376239442108897,True,7,-8.099415216692213,0.27682422541668394,1
0.5,11,CSI,4,10.793037228467988,7.699269397568122,True,3,7.65001533382348,0.04925406374464192,1
0.5,12,CSI,1,21.323268983422253,15.30736184052258,False,,,,0
0.5,12,CSI,2,-22.38050507336128,-16.268614915503527,False,,,,0
0.5,12,CSI,3,-11.571765434451219,-8.459300526391004,True,7,-8.099415216692213,0.3598853096987913,1
0.5,12,CSI,4,10.747195360137196,7.666148647699124,True,3,7.65001533382348,0.01613331387564454,1
0.5,13,CSI,1,-11.29297470464939,-8.257874224109184,True,7,-8.099415216692213,0.15845900741697072,1
0.5,13,CSI,2,21.30839724657012,15.296617010646914,False,,,,0
0.5,13,CSI,3,-22.338596250952744,-16.238335791313357,True,6,-15.74975450021323,0.48858129110012705,1
0.5,13,CSI,4,10.79812547637195,7.702945656678734,True,3,7.65001533382348,0.05293032285525445,1
0.5,13,CSI,5,-0.18285537347560973,-0.23081300733612803,True,1,-0.00011884197075549416,0.23069416536537254,1
0.5,14,CSI,1,-11.66538740948933,-8.52694240335604,True,7,-8.099415216692213,0.42752718666382705,1
0.5,14,CSI,2,-22.3607177734375,-16.254318591308596,False,,,,0
0.5,14,CSI,3,21.326746498666157,15.3098743452863,False,,,,0
0.5,14,CSI,4,10.819764672256099,7.7185799757050315,True,3,7.65001533382348,0.06856464188155176,1
0.5,15,CSI,1,-11.543299233041157,-8.438733695872235,True,7,-8.099415216692213,0.33931847918002234,1
0.5,15,CSI,2,21.335639767530488,15.316299732040779,False,,,,0
0.5,15,CSI,3,-22.354355230564025,-16.24972165408251,True,6,-15.74975450021323,0.4999671538692798,1
0.5,15,CSI,4,10.837387457126525,7.731312437773915,True,3,7.65001533382348,0.0812971039504351,1
0.5,16,CSI,1,-22.4158935546875,-16.29418309326172,False,,,,0
0.5,16,CSI,2,-11.661802710556401,-8.524352458376999,True,7,-8.099415216692213,0.42493724168478586,1
0.5,16,CSI,3,21.30856397675305,15.29673747320408,False,,,,0
0.5,16,CSI,4,10.818963771913111,7.718001325207223,True,3,7.65001533382348,0.06798599138374328,1
0.5,16,CSI,5,-0.23240103372713414,-0.26660974686785444,True,1,-0.00011884197075549416,0.2664909048970989,1
0.5,17,CSI,1,-22.425876524390244,-16.301395788871954,False,,,,0
0.5,17,CSI,2,21.319371665396343,15.30454602824886,False,,,,0
0.5,17,CSI,3,-11.629784560785062,-8.501219345167206,True,7,-8.099415216692213,0.4018041284749927,1
0.5,17,CSI,4,10.806384575076219,7.708912855492569,True,3,7.65001533382348,0.05889752166908924,1
0.5,18,CSI,1,-22.430934999047256,-16.305050536811645,False,,,,0
0.5,18,CSI,2,-11.733047113185975,-8.575826539276866,True,7,-8.099415216692213,0.4764113225846529,1
0.5,18,CSI,3,21.33124225895579,15.31312253209556,False,,,,0
0.5,18,CSI,4,10.831114233993901,7.726780034060594,True,3,7.65001533382348,0.07676470023711435,1
0.5,18,CSI,5,-0.20818347465701217,-0.24911256043969132,True,1,-0.00011884197075549416,0.24899371846893584,1
0.5,19,CSI,1,-11.593717249428355,-8.475160712711986,True,7,-8.099415216692213,0.37574549601977303,1
0.5,19,CSI,2,-22.405937380907012,-16.286989757705317,False,,,,0
0.5,19,CSI,3,21.287046851181405,15.281191349978567,False,,,,0
0.5,19,CSI,4,10.84645936547256,7.737866891553925,True,3,7.65001533382348,0.0878515577304455,1
0.5,19,CSI,5,-0.22100681211890244,-0.258377421755907,True,1,-0.00011884197075549416,0.2582585797851515,1
0.5,20,CSI,1,-11.624749904725608,-8.49758180616425,True,7,-8.099415216692213,0.3981665894720372,1
0.5,20,CSI,2,-22.415652391387194,-16.29400885277725,False,,,,0
0.5,20,CSI,3,21.309909727515244,15.297709778129764,False,,,,0
0.5,20,CSI,4,10.83049197313262,7.726330450588319,True,3,7.65001533382348,0.07631511676483882,1
0.5,21,CSI,1,-11.555568788109756,-8.447598449409298,True,7,-8.099415216692213,0.3481832327170853,1
0.5,21,CSI,2,21.32136945026677,15.305989427817742,False,,,,0
0.5,21,CSI,3,-22.37137064119665,-16.26201528826458,False,,,,0
0.5,21,CSI,4,10.855808165015244,7.744621399223514,True,3,7.65001533382348,0.09460606540003447,1
0.5,21,CSI,5,-0.2137064119664634,-0.2531028826457698,True,1,-0.00011884197075549416,0.2529840406750143,1
0.5,22,CSI,1,-22.368545160060975,-16.259973878144056,False,,,,0
0.5,22,CSI,2,-11.543352824885671,-8.438772415979898,True,7,-8.099415216692213,0.3393571992876847,1
