Frame_ID,Sensor,Detection_ID,cluster_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,center_x,centroid_x,centroid_y,point_count,min_distance,detection_score,bearing_deg
1,CSI,1,,265.4966125488281,180.44593811035156,333.49749755859375,237.17555236816406,0.4374653995037079,299.49705505371094,,,,,,-21.561550233422256
1,RGB,1,,134.0479736328125,230.40354919433594,226.41429138183594,308.65277099609375,0.9475299715995789,180.23113250732422,,,,,,-15.068831026554108
1,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
2,CSI,1,,265.4962463378906,180.06980895996094,333.39630126953125,237.0799560546875,0.3799020051956177,299.44627380371094,,,,,,-21.57145877000762
2,RGB,1,,134.17218017578125,230.37774658203125,226.82223510742188,308.6002197265625,0.9459091424942017,180.49720764160156,,,,,,-15.040144801139832
2,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
3,CSI,1,,265.4172668457031,180.04119873046875,333.3430480957031,237.11822509765625,0.38794246315956116,299.3801574707031,,,,,,-21.584359517911587
3,RGB,1,,134.1208953857422,230.42178344726562,226.56825256347656,308.6832275390625,0.947444498538971,180.34457397460938,,,,,,-15.056600618362427
3,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
4,CSI,1,,265.4346008300781,180.04153442382812,333.4466857910156,237.0478057861328,0.37462347745895386,299.4406433105469,,,,,,-21.572557402820124
4,RGB,1,,134.0457763671875,230.32891845703125,226.5120391845703,308.6902160644531,0.9484848976135254,180.2789077758789,,,,,,-15.063680255413056
4,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
5,CSI,1,,265.47607421875,180.08384704589844,333.5390930175781,237.0760040283203,0.37290462851524353,299.50758361816406,,,,,,-21.559495879382624
5,RGB,1,,134.05953979492188,230.38531494140625,226.34547424316406,308.6700744628906,0.948552668094635,180.20250701904297,,,,,,-15.07191721200943
5,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
6,CSI,1,,265.3089599609375,180.24295043945312,333.5220947265625,237.03573608398438,0.3879150152206421,299.41552734375,,,,,,-21.577458079268293
6,RGB,1,,134.19216918945312,230.3118896484375,226.32000732421875,308.68218994140625,0.9485059976577759,180.25608825683594,,,,,,-15.066140484809875
6,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
7,CSI,1,,265.34576416015625,180.15927124023438,333.6101379394531,236.99131774902344,0.3954387307167053,299.4779510498047,,,,,,-21.565277843940546
7,RGB,1,,134.05088806152344,230.24954223632812,226.10531616210938,308.622802734375,0.9490703344345093,180.0781021118164,,,,,,-15.085329616069794
7,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
8,CSI,1,,265.42108154296875,180.3704833984375,333.3746337890625,237.01605224609375,0.42181330919265747,299.3978576660156,,,,,,-21.580905821265244
8,RGB,1,,134.0195770263672,230.39678955078125,226.20489501953125,308.7373046875,0.9480156898498535,180.11223602294922,,,,,,-15.081649553775787
8,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
9,CSI,1,,265.4782409667969,180.3172607421875,333.1969299316406,236.92819213867188,0.4215288460254669,299.33758544921875,,,,,,-21.592666253810975
9,RGB,1,,134.09701538085938,230.41029357910156,226.62840270996094,308.7539978027344,0.9492717385292053,180.36270904541016,,,,,,-15.054645431041717
9,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
10,CSI,1,,265.3962707519531,180.12167358398438,333.36590576171875,236.95408630371094,0.36385416984558105,299.38108825683594,,,,,,-21.584177901105186
10,RGB,1,,134.06744384765625,230.49319458007812,226.35122680664062,308.68304443359375,0.9495601654052734,180.20933532714844,,,,,,-15.071181035041809
10,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
11,CSI,1,,265.369384765625,180.16419982910156,333.2015380859375,236.92550659179688,0.38532087206840515,299.28546142578125,,,,,,-21.602836794969512
11,RGB,1,,134.13644409179688,230.419677734375,226.23529052734375,308.6584167480469,0.9517683386802673,180.1858673095703,,,,,,-15.073711180686951
11,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
12,CSI,1,,265.4759521484375,180.3861846923828,333.3090515136719,236.91903686523438,0.4311313033103943,299.3925018310547,,,,,,-21.58195086223323
12,RGB,1,,134.18338012695312,230.39654541015625,226.3313446044922,308.5780029296875,0.9494982361793518,180.25736236572266,,,,,,-15.066003119945526
12,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
13,CSI,1,,265.4972839355469,180.5633544921875,333.2586669921875,236.91665649414062,0.43412235379219055,299.3779754638672,,,,,,-21.584785275342988
13,RGB,1,,134.1320037841797,230.35293579101562,226.2364501953125,308.63653564453125,0.9491862058639526,180.1842269897461,,,,,,-15.073888027668
13,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
14,CSI,1,,265.4929504394531,180.47042846679688,333.36767578125,236.9063262939453,0.41425949335098267,299.43031311035156,,,,,,-21.57457305163872
14,RGB,1,,134.14312744140625,230.44967651367188,226.03672790527344,308.5741882324219,0.9504328966140747,180.08992767333984,,,,,,-15.084054672718048
14,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
15,CSI,1,,265.46746826171875,180.5714874267578,333.27703857421875,237.03184509277344,0.4476791322231293,299.37225341796875,,,,,,-21.585901772103657
15,RGB,1,,134.05642700195312,230.32180786132812,226.13385009765625,308.68218994140625,0.9504369497299194,180.0951385498047,,,,,,-15.083492875099182
15,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
16,CSI,1,,265.4774475097656,180.4465789794922,333.10894775390625,236.83493041992188,0.4156755208969116,299.29319763183594,,,,,,-21.601327291349083
16,RGB,1,,134.0731658935547,230.4556121826172,226.17820739746094,308.6377258300781,0.9480378031730652,180.1256866455078,,,,,,-15.08019940853119
16,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
17,CSI,1,,265.4111633300781,180.50244140625,333.367919921875,236.96173095703125,0.43609943985939026,299.38954162597656,,,,,,-21.582528463224087
17,RGB,1,,134.09669494628906,230.4466552734375,225.98492431640625,308.6263732910156,0.9498092532157898,180.04080963134766,,,,,,-15.089350211620332
17,LiDAR,1,1,,,,,,,-4.1362010483411025,14.666103199831078,2,15.230356729851026,0.7,-15.74975450021323
