Frame_ID,Sensor,Detection_ID,cluster_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,center_x,centroid_x,centroid_y,point_count,min_distance,detection_score,bearing_deg
1,CSI,1,,440.35552978515625,176.4091796875,501.4864501953125,240.4416046142578,0.4257514774799347,470.9209899902344,,,,,,11.887022437118901
1,RGB,1,,367.7943115234375,231.06134033203125,448.8389587402344,309.3809814453125,0.9627719521522522,408.31663513183594,,,,,,9.521637225151062
1,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
2,CSI,1,,440.31146240234375,176.34329223632812,501.33935546875,240.42208862304688,0.42915108799934387,470.8254089355469,,,,,,11.868372475228659
2,RGB,1,,367.860595703125,231.00473022460938,448.8087158203125,309.35467529296875,0.9621674418449402,408.33465576171875,,,,,,9.523580074310303
2,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
3,CSI,1,,440.1418762207031,176.42291259765625,501.1589660644531,240.3135223388672,0.42426276206970215,470.6504211425781,,,,,,11.834228515625
3,RGB,1,,367.897705078125,231.04965209960938,448.7691345214844,309.3263854980469,0.9627233147621155,408.3334197998047,,,,,,9.523446822166443
3,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
4,CSI,1,,440.3631591796875,176.3723907470703,501.4532775878906,240.32025146484375,0.42553701996803284,470.90821838378906,,,,,,11.884530416349087
4,RGB,1,,367.89324951171875,230.84812927246094,448.7863464355469,309.3733825683594,0.961898148059845,408.3397979736328,,,,,,9.524134469032287
4,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
5,CSI,1,,440.2005310058594,176.37030029296875,501.48541259765625,240.4052276611328,0.4176972508430481,470.8429718017578,,,,,,11.871799375952744
5,RGB,1,,367.91485595703125,230.90908813476562,448.7396545410156,309.35931396484375,0.9623852372169495,408.32725524902344,,,,,,9.52278220653534
5,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
6,CSI,1,,440.3056335449219,176.45648193359375,501.5435791015625,240.40341186523438,0.418455570936203,470.9246063232422,,,,,,11.887728063071645
6,RGB,1,,367.9722900390625,231.07589721679688,448.7218933105469,309.29656982421875,0.9619593620300293,408.3470916748047,,,,,,9.52492082118988
6,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
7,CSI,1,,440.35235595703125,176.31060791015625,501.49017333984375,240.2760772705078,0.4221630096435547,470.9212646484375,,,,,,11.887076028963415
7,RGB,1,,368.07281494140625,231.2501983642578,448.7651672363281,309.3190002441406,0.9619361162185669,408.4189910888672,,,,,,9.532672476768493
7,LiDAR,1,1,,,,,,,2.090837671521189,14.692271328166292,3,14.779278248264287,0.9,8.099303619878544
